Date,Name,Age,Position,Nationality,Club Left,League Left,Club Joined,League Joined,Market Valuation,Transfer
"Jan 1, 2019",Talisca,24,Attacking Midfield,Brazil,"
Benfica ", Liga NOS ,"
GZ Evergrande ",,"25,00 mil. €","19,20 mil. €"
"Jan 1, 2019",Amadou Haidara,20,Central Midfield,Mali,"
RB Salzburg ", Bundesliga ,"
RB Leipzig ",,"20,00 mil. €","19,00 mil. €"
"Jan 1, 2019",Maximiliano Meza,26,Attacking Midfield,Argentina,"
Independiente ", Superliga ,"
Monterrey ",,"14,00 mil. €","13,15 mil. €"
"Jan 1, 2019",Víctor Dávila,21,Centre-Forward,Chile,"
Necaxa ", Liga MX Clausura ,"
CF Pachuca ",,"3,50 mil. €","10,60 mil. €"
"Jan 1, 2019",Orbelín Pineda,22,Central Midfield,Mexico,"
Chivas ", Liga MX Clausura ,"
CD Cruz Azul ",,"5,00 mil. €","10,56 mil. €"
"Jan 1, 2019",Alphonso Davies,18,Left-Back,Canada,"
Vancouver ", MLS ,"
Bayern Munich  ",,"10,00 mil. €","10,00 mil. €"
"Jan 1, 2019",Lisandro Magallán,25,Centre-Back,Argentina,"
Boca Juniors ", Superliga ,"
Ajax ",,"6,00 mil. €","9,00 mil. €"
"Jan 1, 2019",Erling Haaland,18,Centre-Forward,Norway,"
Molde FK ", Eliteserien ,"
RB Salzburg ",,"5,00 mil. €","8,00 mil. €"
"Jan 1, 2019",George Saville,25,Central Midfield,Northern Ireland,"
Millwall ", Championship ,"
Middlesbrough ",,"5,00 mil. €","7,80 mil. €"
"Jan 1, 2019",Rodrigo Caio,25,Centre-Back,Brazil,"
São Paulo ", Série A ,"
Flamengo ",,"9,00 mil. €","7,00 mil. €"
"Jan 1, 2019",Ayrton Lucas,21,Left-Back,Brazil,"
Fluminense ", Série A ,"
Spartak Moscow ",,"1,50 mil. €","7,00 mil. €"
"Jan 1, 2019",Diego Valdés,24,Attacking Midfield,Chile,"
Morelia ", Liga MX Clausura ,"
Santos Laguna ",,"3,00 mil. €","6,10 mil. €"
"Jan 1, 2019",Lovre Kalinic,28,Goalkeeper,Croatia,"
KAA Gent ", Jupiler Pro League ,"
Aston Villa ",,"6,50 mil. €","6,00 mil. €"
"Jan 1, 2019",Pablo,26,Centre-Forward,Brazil,"
Athletico-PR ", Série A ,"
São Paulo ",,"2,00 mil. €","6,00 mil. €"
"Jan 1, 2019",Carlos Eduardo,22,Right Winger,Brazil,"
Pyramids FC ", Premier League ,"
Palmeiras ",,"2,50 mil. €","5,70 mil. €"
"Jan 1, 2019",Alexis Vega,21,Centre-Forward,Mexico,"
Toluca ", Liga MX Clausura ,"
Chivas ",,700 K €,"5,28 mil. €"
"Jan 1, 2019",Hiram Mier,29,Centre-Back,Mexico,"
Querétaro FC ", Liga MX Clausura ,"
Chivas ",,"2,00 mil. €","4,82 mil. €"
"Jan 1, 2019",Jhon Cifuente,26,Centre-Forward,Ecuador,"
Uni. Católica ", LigaPro Serie A ,"
Pyramids FC ",,"3,00 mil. €","4,35 mil. €"
"Jan 1, 2019",Matheus Fernandes,20,Central Midfield,Brazil,"
Botafogo ", Série A ,"
Palmeiras ",,"2,00 mil. €","4,00 mil. €"
