Date,Name,Age,Position,Nationality,Club Left,League Left,Club Joined,League Joined,Market Valuation,Transfer
"Jan 1, 2017",Oscar,25,Attacking Midfield,Brazil,"
Chelsea ", Premier League ,"
SH SIPG ",,"35,00 mil. €","60,00 mil. €"
"Jan 1, 2017",Gabriel Jesus,19,Centre-Forward,Brazil,"
Palmeiras ", Série A ,"
Man City ",,"16,00 mil. €","32,00 mil. €"
"Jan 1, 2017",Rodolfo Pizarro,22,Attacking Midfield,Mexico,"
CF Pachuca ", Liga MX Clausura ,"
Chivas ",,"5,00 mil. €","14,75 mil. €"
"Jan 1, 2017",Riechedly Bazoer,20,Central Midfield,Netherlands,"
Ajax ", Eredivisie ,"
VfL Wolfsburg ",,"15,00 mil. €","12,00 mil. €"
"Jan 1, 2017",Hang Ren,27,Left-Back,China,"
JS Suning ", Super League ,"
HB CFFC ",,400 K €,"10,75 mil. €"
"Jan 1, 2017",Carlos Tévez,32,Second Striker,Argentina,"
Boca Juniors ", Superliga ,"
SH Shenhua ",,"8,50 mil. €","10,50 mil. €"
"Jan 1, 2017",Chenglin Zhang,29,Left-Back,China,"
BJ Renhe ", League One ,"
GZ Evergrande ",,125 K €,"9,65 mil. €"
"Jan 1, 2017",Yang Yu,27,Centre-Back,China,"
GZ R&F ", Super League ,"
BJ Sinobo Guoan ",,200 K €,"8,27 mil. €"
"Jan 1, 2017",Shilin Sun,28,Defensive Midfield,China,"
Liaoning FC ", Super League ,"
SH Shenhua ",,200 K €,"8,20 mil. €"
"Jan 1, 2017",Hernani,22,Defensive Midfield,Brazil,"
Athletico-PR ", Série A ,"
Zenit S-Pb ",,"1,75 mil. €","8,00 mil. €"
"Jan 1, 2017",Miguel Almirón,22,Attacking Midfield,Paraguay,"
Lanús ", Superliga ,"
Atlanta United ",,"5,50 mil. €","7,50 mil. €"
"Jan 1, 2017",Odil Akhmedov,29,Central Midfield,Uzbekistan,"
Krasnodar ", Premier Liga ,"
SH SIPG ",,"7,00 mil. €","7,00 mil. €"
"Jan 1, 2017",Gerónimo Rulli,24,Goalkeeper,Argentina,"
Man City ", Premier League ,"
Real Sociedad ",,"8,00 mil. €","7,00 mil. €"
"Jan 1, 2017",Jianqing Mao,30,Left Winger,China,"
SJZ Ever Bright ", League One ,"
SH Shenhua ",,225 K €,"4,75 mil. €"
"Jan 1, 2017",Leonardo,30,Left Winger,Brazil,"
Jeonbuk Motors ", K League 1 ,"
Al-Jazira ",,"2,50 mil. €","3,80 mil. €"
"Jan 1, 2017",Nicolás Castillo,23,Centre-Forward,Chile,"
Club Brugge ", Jupiler Pro League ,"
UNAM Pumas ",,"2,50 mil. €","3,80 mil. €"
"Jan 1, 2017",Rony,21,Left Winger,Brazil,"
Cruzeiro ", Série A ,"
Albirex Niigata ",,400 K €,"3,70 mil. €"
"Jan 1, 2017",Aleksandr Samedov,32,Right Winger,Russia,"
Loko Moscow ", Premier Liga ,"
Spartak Moscow ",,"3,00 mil. €","3,50 mil. €"
"Jan 1, 2017",Andrey Lunev,25,Goalkeeper,Russia,"
Ufa ", Premier Liga ,"
Zenit S-Pb ",,"2,00 mil. €","3,50 mil. €"
"Jan 1, 2017",Aleksandr Selikhov,22,Goalkeeper,Russia,"
Amkar Perm ", Premier Liga ,"
Spartak Moscow ",,"4,00 mil. €","3,50 mil. €"
"Jan 1, 2017",Martín Rodríguez,22,Left Winger,Chile,"
Colo Colo ", Torneo Transición ,"
CD Cruz Azul ",,900 K €,"3,13 mil. €"
"Jan 1, 2017",Yura Movsisyan,29,Centre-Forward,Armenia,"
Spartak Moscow ", Premier Liga ,"
Salt Lake ",,"3,00 mil. €","3,00 mil. €"
"Jan 1, 2017",Lovre Kalinic,26,Goalkeeper,Croatia,"
Hajduk Split ", 1.HNL ,"
KAA Gent ",,"3,75 mil. €","3,00 mil. €"
"Jan 1, 2017",Uros Matic,26,Central Midfield,Serbia,"
Sturm Graz ", Bundesliga ,"
FC Copenhagen ",,"2,00 mil. €","3,00 mil. €"
"Jan 1, 2017",Nemanja Nikolics,29,Centre-Forward,Hungary,"
Legia Warszawa ", Ekstraklasa ,"
Chicago Fire ",,"3,50 mil. €","3,00 mil. €"
"Jan 2, 2017",Kyung-won Kwon,24,Centre-Back,"Korea, South","
Al-Ahli (UAE) ", UAE Gulf League ,"
TJ Tianhai ",,400 K €,"10,50 mil. €"
"Jan 2, 2017",Shanping Yang,29,Centre-Back,China,"
Liaoning FC ", Super League ,"
TJ Tianhai ",,225 K €,"4,10 mil. €"
"Jan 2, 2017",Sander Berge,18,Defensive Midfield,Norway,"
Vålerenga ", Eliteserien ,"
KRC Genk ",,800 K €,"2,00 mil. €"
"Jan 2, 2017",Jordan Larsson,19,Centre-Forward,Sweden,"
Helsingborg ", Superettan ,"
NEC Nijmegen ",,500 K €,450 K €
"Jan 2, 2017",Lukas Fröde,21,Defensive Midfield,Germany,"
Werder Bremen ", Bundesliga ,"
Würzb. Kickers ",,400 K €,200 K €
"Jan 2, 2017",Mohamed Amine Hamia,27,Centre-Forward,Algeria,"
O Médéa ", Ligue Professionnelle 1 ,"
CR Belouizdad ",,375 K €,105 K €
"Jan 2, 2017",Ryan Stevenson,32,Attacking Midfield,Scotland,"
Dumbarton FC ", Championship ,"
Raith Rovers ",,350 K €,Free transfer
"Jan 2, 2017",Hugo Machado,34,Attacking Midfield,Portugal,"
OFI Crete ", Football League ,"
Olymp. Volou ",,150 K €,Free transfer
"Jan 2, 2017",Ken Ilsö,30,Attacking Midfield,Denmark,"
LC Sailors ", Premier League ,"
Kedah FA ",,750 K €,Free transfer
"Jan 2, 2017",Hocine Achiou,37,Attacking Midfield,Algeria,"
JSM Bejaia ", Algeria		,"
WA Boufarik ",,100 K €,Free transfer
"Jan 2, 2017",Mirkan Aydin,29,Centre-Forward,Germany,"
Dalkurd ", Superettan ,"
Preußen Münster ",,300 K €,Free transfer
"Jan 2, 2017",Bojan Dojkic,32,Centre-Back,Serbia,"
Apollon Pontou ", Greece		,"
Olymp. Volou ",,200 K €,Free transfer
"Jan 2, 2017",Nikolaos Barboudis,27,Right-Back,Greece,"
Anagen.Derynias ", First Division ,"
Agia Napa ",,150 K €,Free transfer
"Jan 2, 2017",Antonis Ladakis,34,Defensive Midfield,Greece,"
AO Kavala ", Greece		,"
Doxa Dramas ",,150 K €,Free transfer
"Jan 2, 2017",Andrew Redmayne,27,Goalkeeper,Australia,"
Western Sydney ", A-League ,"
Sydney FC ",,300 K €,Free transfer
"Jan 2, 2017",Carles Coto,28,Left Winger,Spain,"
Doxa Katokopias ", First Division ,"
Ermis Aradippou ",,150 K €,Free transfer
"Jan 2, 2017",Marcinho Pitbull,29,Defensive Midfield,Brazil,"
Villa Nova AC ", Brazil		,"
AA Portuguesa ",,25 K €,Free transfer
"Jan 2, 2017",Musawengosi Mguni,33,Centre-Forward,Zimbabwe,"
Agia Napa ", Cyprus		,"
Omon. Aradippou ",,150 K €,Free transfer
"Jan 2, 2017",Yevgen Selin,28,Left-Back,Ukraine,"
Dynamo Kyiv ", Premier Liga ,"
Asteras Tripoli ",,800 K €,Free transfer
"Jan 2, 2017",Marko Pavicevic,30,Centre-Forward,Serbia,"
AO Kavala ", Greece		,"
Doxa Dramas ",,300 K €,Free transfer
"Jan 2, 2017",Anastasios Pagonis,31,Centre-Back,Greece,"
PAE Chania ", Football League ,"
Doxa Dramas ",,250 K €,Free transfer
"Jan 2, 2017",Martin Lund,25,Left Winger,Denmark,"
Fjölnir ", Pepsi Max deild ,"
Breidablik ",,225 K €,Free transfer
"Jan 2, 2017",Muriqui,30,Left Winger,Brazil,"
Al Sadd ", Stars League ,"
Vasco da Gama ",,"3,00 mil. €",Free transfer
"Jan 2, 2017",Dimitrios Gourtsas,26,Centre-Forward,Greece,"
Eginiakos ", Football League ,"
Panserraikos ",,150 K €,Free transfer
"Jan 2, 2017",Mattheos Maroukakis,26,Centre-Forward,Greece,"
AE Larisa ", Super League 1 ,"
AO Trikala ",,350 K €,Free transfer
"Jan 3, 2017",Julian Draxler,23,Central Midfield,Germany,"
VfL Wolfsburg ", Bundesliga ,"
Paris SG ",,"28,00 mil. €","36,00 mil. €"
"Jan 3, 2017",Axel Witsel,27,Defensive Midfield,Belgium,"
Zenit S-Pb ", Premier Liga ,"
TJ Tianhai ",,"20,00 mil. €","20,00 mil. €"
"Jan 3, 2017",Leonardo Pavoletti,28,Centre-Forward,Italy,"
Genoa ", Serie A ,"
SSC Napoli ",,"13,00 mil. €","18,00 mil. €"
"Jan 3, 2017",Wilfred Ndidi,20,Defensive Midfield,Nigeria,"
KRC Genk ", Jupiler Pro League ,"
Leicester ",,"8,00 mil. €","17,60 mil. €"
"Jan 3, 2017",Stevan Jovetic,27,Centre-Forward,Montenegro,"
Man City ", Premier League ,"
Inter ",,"10,00 mil. €","13,50 mil. €"
"Jan 3, 2017",Tomás Rincón,28,Defensive Midfield,Venezuela,"
Genoa ", Serie A ,"
Juventus ",,"9,00 mil. €","8,00 mil. €"
"Jan 3, 2017",Haolun Mi,23,Left-Back,China,"
SJZ Ever Bright ", League One ,"
TJ Tianhai ",,175 K €,"2,50 mil. €"
"Jan 3, 2017",Emerson,22,Left-Back,Italy,"
Santos FC ", Série A ,"
AS Roma ",,"3,00 mil. €","2,00 mil. €"
"Jan 3, 2017",Bartosz Bereszynski,24,Right-Back,Poland,"
Legia Warszawa ", Ekstraklasa ,"
Sampdoria ",,600 K €,"1,80 mil. €"
"Jan 3, 2017",Lukas Jutkiewicz,27,Centre-Forward,England,"
Burnley ", Premier League ,"
Birmingham ",,"1,00 mil. €","1,20 mil. €"
