Date,Name,Age,Position,Nationality,Club Left,League Left,Club Joined,League Joined,Market Valuation,Transfer
"Jan 1, 2004",Neil Danns,21,Central Midfield,Guyana,"
Blackburn ", Premier League ,"
Colchester Utd. ",,50 K €,50 K €
"Jan 1, 2004",Heinrich Worms,20,Centre-Back,Germany,"
Wolfsburg II ", Oberliga Niedersachsen/Bremen (bis 04/05) ,"
MTV Gifhorn ",,50 K €,Free transfer
"Jan 1, 2004",Samuel Wowoah,27,Left-Back,Liberia,"
Djurgarden ", Sweden		,"
Stabæk Fotball ",,500 K €,Free transfer
"Jan 1, 2004",Fotis Papadopoulos,28,Right Winger,Greece,"
Paniliakos ", Super League 1 ,"
Veria NPS ",,50 K €,Free transfer
"Jan 1, 2004",Alonso Zúñiga,23,Left Midfield,Chile,"
CD Puerto Montt ", Chile		,"
Wanderers ",,125 K €,Free transfer
"Jan 1, 2004",Aleksandar Tadic,24,Defender,Serbia,"
Jedinstvo Uzice ", Serbia		,"
Mladost ",,25 K €,Free transfer
"Jan 1, 2004",Zarko Dimic,24,Forward,Serbia,"
Sindjelic ", Serbia		,"
OFK Nis ",,50 K €,Free transfer
"Jan 1, 2004",Sergio Moreno,21,Central Midfield,Chile,"
CD Trasandino ", Chile		,"
San Luis ",,100 K €,Free transfer
"Jan 1, 2004",Mauro Bianchi,23,Centre-Back,Italy,"
Venezia ", Serie B ,"
Padova ",,50 K €,?
"Jan 1, 2004",Andrea Cecchini,31,Centre-Forward,Italy,"
Pescara ", Serie B ,"
Padova ",,50 K €,?
"Jan 1, 2004",Predrag Djorovic,20,Defensive Midfield,Serbia,"
FK Bane Raska ", Serbia		,"
Javor-Matis ",,25 K €,?
"Jan 1, 2004",Bogdan Marjanovic,23,Left-Back,Serbia,"
FK Srem ", Serbia		,"
Morava Cuprija ",,250 K €,?
"Jan 5, 2004",Renzo Yáñez,23,Forward,Chile,"
U. de Chile ", Chile		,"
UdeConce ",,150 K €,Free transfer
"Jan 14, 2004",Vilmos Sebők,30,Centre-Back,Hungary,"
M. Ahi Nazareth ", Ligat ha'Al ,"
Zalaegerszeg ",,250 K €,Free transfer
"Jan 19, 2004",Mustafa Sert,23,Centre-Back,Turkey,"
Denizlispor ", Süper Lig ,"
Manisaspor ",,500 K €,Free transfer
"Jan 27, 2004",Zvonimir Stankovic,20,Centre-Back,Serbia,"
Proleter Zrenj. ", Serbia		,"
OFK Nis ",,100 K €,Free transfer
"Jan 29, 2004",Christophe Sanchez,31,Centre-Forward,France,"
Without Club ",,"
FC Sète 34 ",,50 K €,-
"Jan 30, 2004",Serkan Kilic,23,Left-Back,Turkey,"
Trabzonspor ", Süper Lig ,"
Altay SK ",,100 K €,?
"Jan 31, 2004",Won-kwang Jo,18,Central Midfield,"Korea, South","
FC Seoul ", K League - 2nd Stage ,"
FC Sochaux ",,200 K €,?
"Jan 31, 2004",Giuseppe Biava,26,Centre-Back,Italy,"
UC AlbinoLeffe ", Serie B ,"
Palermo ",,"1,20 mil. €",?
