Date,Name,Age,Position,Nationality,Club Left,League Left,Club Joined,League Joined,Market Valuation,Transfer
"Dec 1, 2006",Sven Lintjens,30,Attacking Midfield,Germany,"
Saarbrücken ", Regionalliga Süd ,"
MVV Maastricht ",,600 K €,Free transfer
"Dec 1, 2006",Carlo Taldo,34,Centre-Forward,Italy,"
Tritium ", Italy		,"
Legnano ",,300 K €,Free transfer
"Dec 1, 2006",Joe Cannon,31,Goalkeeper,United States,"
Colorado ", MLS ,"
LA Galaxy ",,600 K €,Free transfer
"Dec 1, 2006",Tarik Bouhraoua,22,Central Midfield,Germany,"
FC Nöttingen ", Oberliga Ba-Wü ,"
1.FC Pforzheim ",,50 K €,Free transfer
"Dec 1, 2006",Stephan Schulz-Winge,32,Midfielder,Germany,"
1.FC Kleve ", Oberliga Nordrhein ,"
TuRU Düsseldorf ",,75 K €,Free transfer
"Dec 1, 2006",Martin Reeves,25,Midfielder,England,"
Nuneaton ", England		,"
Hucknall Town FC ",,50 K €,Free transfer
"Dec 1, 2006",Andy McLaren,33,Left Winger,Scotland,"
Dundee FC ", Championship ,"
Ayr United ",,100 K €,Free transfer
"Dec 1, 2006",Craig Brewster,39,Centre-Forward,Scotland,"
Dundee United ", Premiership ,"
Aberdeen FC ",,50 K €,Free transfer
"Dec 1, 2006",Rui Dolores,28,Left Winger,Portugal,"
Paços Ferreira ", Liga NOS ,"
US Créteil ",,"1,00 mil. €",Free transfer
"Dec 1, 2006",Darran Thomson,22,Left-Back,Scotland,"
Cowdenbeath FC ", Scotland		,"
Bonnyrigg ",,50 K €,Free transfer
"Dec 1, 2006",Gottfried Janisch,24,Central Midfield,Austria,"
Sturm Graz ", Bundesliga ,"
FC Gratkorn ",,50 K €,Free transfer
"Dec 1, 2006",Thomas Gellner,21,Defender,Germany,"
Wehen Wiesbaden ", Regionalliga Süd ,"
FC Spandau 06 ",,100 K €,Free transfer
"Dec 1, 2006",Émerson,31,Centre-Back,Brazil,"
Paraná ", Série A ,"
Ponte Preta ",,600 K €,Free transfer
"Dec 1, 2006",Sébastien Méoli,26,Centre-Back,Switzerland,"
FC Sion ", Super League ,"
Yverdon-Sport ",,125 K €,Free transfer
"Dec 1, 2006",Mirza Jelecák,23,Centre-Forward,Sweden,"
Örebro SK ", Sweden		,"
Landskrona ",,425 K €,Free transfer
"Dec 1, 2006",Ante Covic,31,Goalkeeper,Australia,"
Hammarby ", Allsvenskan ,"
Newcastle ",,750 K €,Free transfer
"Dec 1, 2006",Catatau,20,Centre-Forward,Brazil,"
Paysandu ", Brazil		,"
Santo André ",,750 K €,Free transfer
"Dec 1, 2006",Patrick Schröder,20,Attacking Midfield,<td class=,"
1.FC Burg ", Germany		,"
SVGO Bremen ",,50 K €,Free transfer
"Dec 1, 2006",Grzegorz Wedzynski,36,Central Midfield,Poland,"
Gornik Leczna ", Ekstraklasa ,"
Pol. Warsaw ",,100 K €,Free transfer
"Dec 3, 2006",Leonardo Pisculichi,22,Attacking Midfield,Argentina,"
RCD Mallorca ", LaLiga ,"
Al Arabi ",,"1,75 mil. €","3,60 mil. €"
"Dec 4, 2006",Clayton,32,Left-Back,Tunisia,"
Sakaryaspor ", Süper Lig ,"
Stade Gabèsien ",,"1,10 mil. €",?
"Dec 7, 2006",Liam Needham,21,Left Midfield,England,"
Notts County ", League Two ,"
Gainsborough Trinity ",,50 K €,?
"Dec 11, 2006",Freddy Adu,17,Attacking Midfield,United States,"
D.C. United ", MLS ,"
Salt Lake ",,"1,50 mil. €",?
"Dec 19, 2006",Florian Jarjat,26,Centre-Back,France,"
SC Bastia ", Ligue 2 ,"
Dijon ",,"1,00 mil. €",?
"Dec 20, 2006",Alessandro Cambalhota,33,Right Winger,Brazil,"
Denizlispor ", Süper Lig ,"
Guaratinguetá ",,700 K €,Free transfer
"Dec 20, 2006",Bjarki Gunnlaugsson,33,Attacking Midfield,Iceland,"
ÍA Akranes ", Pepsi Max deild ,"
Hafnarfjördur ",,250 K €,?
"Dec 21, 2006",Olivier Sorin,25,Goalkeeper,France,"
AS Nancy ", Ligue 1 ,"
AJ Auxerre ",,200 K €,"1,30 mil. €"
"Dec 22, 2006",Steven Lustü,35,Centre-Back,Denmark,"
FK Lyn ", Eliteserien ,"
Silkeborg IF ",,500 K €,500 K €
"Dec 29, 2006",Nathan Abbey,28,Goalkeeper,England,"
Torquay United ", League Two ,"
Brentford ",,125 K €,Free transfer
"Dec 30, 2006",Adailton,23,Centre-Back,Brazil,"
Stade Rennais ", Ligue 1 ,"
Santos FC ",,"3,00 mil. €","1,50 mil. €"
"Dec 30, 2006",Remo Staubli,18,Right Midfield,Switzerland,"
FC Zürich U21 ", 1.Liga gr. 3 ,"
FC Zürich ",,50 K €,-
"Dec 31, 2006",Matthew Turner,25,Forward,England,"
Carlton Town ", England		,"
Retired ",,50 K €,-
"Jan 1, 2007",Fernando Gago,20,Defensive Midfield,Argentina,"
Boca Juniors ", Torneo Final ,"
Real Madrid ",,"12,00 mil. €","20,50 mil. €"
"Jan 1, 2007",Gonzalo Higuaín,19,Centre-Forward,Argentina,"
River Plate ", Torneo Final ,"
Real Madrid ",,"12,00 mil. €","12,00 mil. €"
"Jan 1, 2007",Matías Fernández,20,Attacking Midfield,Chile,"
Colo Colo ", Chile		,"
Villarreal ",,"11,00 mil. €","8,70 mil. €"
"Jan 1, 2007",Alejandro Domínguez,25,Attacking Midfield,Argentina,"
Rubin Kazan ", Premier Liga ,"
Zenit S-Pb ",,"7,00 mil. €","7,00 mil. €"
"Jan 1, 2007",Luís Boa Morte,29,Left Midfield,Portugal,"
Fulham ", Premier League ,"
West Ham ",,"3,50 mil. €","6,80 mil. €"
"Jan 1, 2007",Marcelo,18,Left-Back,Brazil,"
Fluminense ", Série A ,"
Real Madrid ",,"6,50 mil. €","6,50 mil. €"
"Jan 1, 2007",Pavel Pogrebnyak,23,Centre-Forward,Russia,"
Tom Tomsk ", Premier Liga ,"
Zenit S-Pb ",,"2,50 mil. €","5,00 mil. €"
"Jan 1, 2007",Aleksandr Kerzhakov,24,Centre-Forward,Russia,"
Zenit S-Pb ", Premier Liga ,"
Sevilla FC ",,"7,50 mil. €","5,00 mil. €"
"Jan 1, 2007",Greg Halford,22,Centre-Back,England,"
Colchester Utd. ", Championship ,"
Reading ",,400 K €,"4,50 mil. €"
"Jan 1, 2007",Calum Davenport,24,Centre-Back,England,"
Spurs ", Premier League ,"
West Ham ",,"1,50 mil. €","4,20 mil. €"
"Jan 1, 2007",Milan Bisevac,23,Centre-Back,Serbia,"
Red Star ", Super liga Srbije ,"
Lens ",,"1,00 mil. €","4,10 mil. €"
"Jan 1, 2007",Caner Erkin,18,Left-Back,Turkey,"
Manisaspor ", Süper Lig ,"
CSKA Moscow ",,"4,00 mil. €","4,00 mil. €"
"Jan 1, 2007",Matthew Kilgallon,22,Centre-Back,England,"
Leeds ", Championship ,"
Sheffield Utd. ",,100 K €,"3,80 mil. €"
"Jan 1, 2007",Francisco Fonseca,27,Centre-Forward,Mexico,"
Benfica ", Liga NOS ,"
Tigres UANL ",,"2,50 mil. €","3,80 mil. €"
"Jan 1, 2007",Rodolfo,24,Centre-Back,Brazil,"
Dynamo Kyiv ", Premier Liga ,"
Loko Moscow ",,"2,50 mil. €","3,70 mil. €"
"Jan 1, 2007",Ivan Pelizzoli,26,Goalkeeper,Italy,"
Reggina ", Serie A ,"
Loko Moscow ",,"3,00 mil. €","3,00 mil. €"
"Jan 1, 2007",Kevin Thomson,22,Central Midfield,Scotland,"
Hibernian FC ", Premiership ,"
Rangers ",,450 K €,"3,00 mil. €"
"Jan 1, 2007",Aílton,22,Centre-Forward,Brazil,"
Örgryte ", Superettan ,"
FC Copenhagen ",,"1,00 mil. €","3,00 mil. €"
"Jan 1, 2007",Marcelinho Paraíba,31,Attacking Midfield,Brazil,"
Trabzonspor ", Süper Lig ,"
VfL Wolfsburg ",,"10,00 mil. €","2,75 mil. €"
"Jan 1, 2007",Yuki Abe,25,Defensive Midfield,Japan,"
JEF Utd. Chiba ", J1 League ,"
Urawa Reds ",,400 K €,"2,70 mil. €"
"Jan 1, 2007",Luton Shelton,21,Left Winger,Jamaica,"
Helsingborg ", Allsvenskan ,"
Sheffield Utd. ",,"1,30 mil. €","2,70 mil. €"
"Jan 1, 2007",Matías Vuoso,25,Centre-Forward,Mexico,"
América ", Liga MX Clausura ,"
Santos Laguna ",,"2,00 mil. €","2,65 mil. €"
"Jan 1, 2007",Razvan Cocis,23,Central Midfield,Romania,"
Sheriff ", Moldova		,"
Loko Moscow ",,325 K €,"2,60 mil. €"
"Jan 1, 2007",Rowan Vine,24,Centre-Forward,England,"
Luton ", Championship ,"
Birmingham ",,650 K €,"2,50 mil. €"
"Jan 1, 2007",Marc-Antoine Fortuné,25,Centre-Forward,French Guiana,"
FC Utrecht ", Eredivisie ,"
AS Nancy ",,450 K €,"2,30 mil. €"
"Jan 2, 2007",Carlos Edwards,28,Right-Back,Trinidad and Tobago,"
Luton ", Championship ,"
Sunderland ",,350 K €,"2,10 mil. €"
"Jan 2, 2007",Márton Fülöp,23,Goalkeeper,Hungary,"
Spurs ", Premier League ,"
Sunderland ",,400 K €,750 K €
"Jan 2, 2007",Craig Morgan,21,Centre-Back,Wales,"
MK Dons ", League Two ,"
Peterborough ",,425 K €,75 K €
"Jan 2, 2007",Massimo Maccarone,27,Centre-Forward,Italy,"
Middlesbrough ", Premier League ,"
Siena ",,"3,50 mil. €",Free transfer
"Jan 2, 2007",Luis Saritama,23,Attacking Midfield,Ecuador,"
Tigres UANL ", Liga MX Clausura ,"
América ",,600 K €,Free transfer
"Jan 3, 2007",Luke Chadwick,26,Attacking Midfield,England,"
Stoke City ", Championship ,"
Norwich ",,100 K €,300 K €
"Jan 3, 2007",Alton Thelwell,26,Centre-Back,England,"
Hull City ", Championship ,"
Leyton Orient ",,300 K €,40 K €
"Jan 3, 2007",Nico Frommer,28,Centre-Forward,Germany,"
Unterhaching ", 2. Bundesliga ,"
VfL Osnabrück ",,150 K €,Free transfer
"Jan 3, 2007",Yasin Celik,31,Right-Back,Turkey,"
Without Club ",,"
Ankaragücü ",,500 K €,-
"Jan 4, 2007",Leandro Grimi,21,Left-Back,Argentina,"
Racing Club ", Torneo Final ,"
AC Milan ",,"2,00 mil. €","2,50 mil. €"
"Jan 4, 2007",Alexander Baumjohann,19,Attacking Midfield,Germany,"
FC Schalke 04 ", Bundesliga ,"
Bor. M'gladbach ",,100 K €,250 K €
"Jan 4, 2007",Metin Telle,26,Centre-Forward,Turkey,"
FC Nöttingen ", Oberliga Ba-Wü ,"
Alanyaspor ",,75 K €,Free transfer
"Jan 4, 2007",Ümit Erbay,26,Central Midfield,Austria,"
Eisenstadt ", Regional League East ,"
Kartalspor ",,50 K €,Free transfer
"Jan 4, 2007",Jean-Emmanuel Effa-Owona,23,Centre-Forward,Cameroon,"
Malatyaspor ", 1.Lig ,"
US Créteil ",,650 K €,Free transfer
"Jan 4, 2007",Jan Moons,36,Goalkeeper,Belgium,"
KRC Genk ", Jupiler Pro League ,"
Lierse SK ",,500 K €,Free transfer
"Jan 4, 2007",Lilian Laslandes,35,Centre-Forward,France,"
G. Bordeaux ", Ligue 1 ,"
OGC Nice ",,"1,00 mil. €",?
"Jan 4, 2007",Alper Mutlu Özel,30,Goalkeeper,Turkey,"
Without Club ",,"
Kücükköyspor ",,500 K €,-
"Jan 5, 2007",Frank Rost,33,Goalkeeper,Germany,"
FC Schalke 04 ", Bundesliga ,"
Hamburger SV ",,"5,00 mil. €","1,50 mil. €"
"Jan 5, 2007",Ufuk Ates,28,Centre-Forward,Turkey,"
Konyaspor ", Süper Lig ,"
Basaksehir ",,500 K €,300 K €
"Jan 5, 2007",Christian Negouai,28,Defensive Midfield,Martinique,"
Aalesund ", Eliteserien ,"
RWDM Brussels ",,700 K €,Free transfer
"Jan 5, 2007",Mustafa Yalcinkaya,25,Right-Back,Turkey,"
Osmanlispor ", Süper Lig ,"
Mardinspor ",,"1,00 mil. €",Free transfer
"Jan 5, 2007",Stephen Dobbie,24,Centre-Forward,Scotland,"
St. Johnstone ", Championship ,"
Queen o. t. S. ",,125 K €,Free transfer
"Jan 5, 2007",Peter Till,21,Right Midfield,England,"
Birmingham ", Championship ,"
Grimsby Town ",,75 K €,Free transfer
"Jan 5, 2007",Ercan Ünal,24,Centre-Back,Turkey,"
Antalyaspor ", Süper Lig ,"
Mardinspor ",,300 K €,?
"Jan 5, 2007",Sinan Ertan,30,Centre-Forward,Turkey,"
C. Dardanel ", Turkey		,"
Türk Telekom ",,500 K €,?
"Jan 5, 2007",Mehmet Yilmaz,25,Centre-Back,Turkey,"
Istanbulspor ", 1.Lig ,"
Adana Demirspor ",,50 K €,?
"Jan 5, 2007",Srebrenko Posavec,26,Attacking Midfield,Croatia,"
Ankaragücü ", Süper Lig ,"
Slaven Belupo ",,375 K €,?
"Jan 5, 2007",Zafer Demiray,30,Right Midfield,Turkey,"
Without Club ",,"
Bursaspor ",,"1,60 mil. €",-
"Jan 7, 2007",Edú,25,Centre-Forward,Brazil,"
1.FSV Mainz 05 ", Bundesliga ,"
Suwon Bluewings ",,"1,50 mil. €","1,40 mil. €"
"Jan 7, 2007",Tim Sparv,19,Defensive Midfield,Finland,"
Southampton ", Championship ,"
Halmstad ",,200 K €,?
"Jan 8, 2007",Anthony Stokes,18,Centre-Forward,Ireland,"
Arsenal U23 ", England		,"
Sunderland ",,100 K €,"3,00 mil. €"
"Jan 8, 2007",Ali Zitouni,25,Right Winger,Tunisia,"
Esperance ", Ligue I Pro ,"
Antalyaspor ",,250 K €,400 K €
"Jan 8, 2007",Rory McArdle,19,Centre-Back,Northern Ireland,"
Sheff Wed ", Championship ,"
Rochdale ",,50 K €,150 K €
"Jan 8, 2007",Joachim Standfest,26,Right-Back,Austria,"
Grazer AK 1902 ", Bundesliga ,"
Austria Vienna ",,950 K €,Free transfer
"Jan 8, 2007",Patrick Wolf,25,Right Midfield,Austria,"
SV Ried ", Bundesliga ,"
FC Kärnten ",,200 K €,Free transfer
"Jan 8, 2007",Ibrahim Yavuz,24,Right-Back,Turkey,"
Ankaragücü ", Süper Lig ,"
Diyarbakirspor ",,600 K €,?
"Jan 8, 2007",Arif Cem Kayikci,21,Centre-Back,Turkey,"
Ofspor ", Turkey		,"
Balikesirspor ",,200 K €,?
"Jan 9, 2007",Mikkel Thygesen,22,Central Midfield,Denmark,"
FC Midtjylland ", Superligaen ,"
Bor. M'gladbach ",,"1,30 mil. €","1,95 mil. €"
"Jan 9, 2007",Craig Fagan,24,Centre-Forward,England,"
Hull City ", Championship ,"
Derby ",,50 K €,"1,13 mil. €"
"Jan 9, 2007",Hicham Aboucherouane,25,Left Winger,Morocco,"
Raja Casablanca ", Morocco		,"
Esperance ",,"1,50 mil. €",300 K €
"Jan 9, 2007",Neil Harris,29,Centre-Forward,England,"
Nottm Forest ", League One ,"
Millwall ",,650 K €,Free transfer
"Jan 9, 2007",Samir Garci,25,Centre-Forward,Austria,"
Rankweil ", Regionalliga West ,"
Marsaxlokk ",,50 K €,Free transfer
"Jan 9, 2007",Rory Delap,30,Central Midfield,Ireland,"
Sunderland ", Championship ,"
Stoke City ",,"1,00 mil. €",?
"Jan 10, 2007",Luigi Pieroni,26,Centre-Forward,Belgium,"
AJ Auxerre ", Ligue 1 ,"
FC Nantes ",,"4,00 mil. €","2,50 mil. €"
"Jan 10, 2007",Youssouf Hadji,26,Centre-Forward,Morocco,"
Stade Rennais ", Ligue 1 ,"
AS Nancy ",,"1,80 mil. €","1,60 mil. €"
"Jan 10, 2007",Cristian Ledesma,28,Central Midfield,Argentina,"
Argentinos Jrs. ", Torneo Final ,"
San Lorenzo ",,500 K €,300 K €
"Jan 10, 2007",Björn Lindemann,22,Attacking Midfield,Germany,"
VfB Lübeck ", Regionalliga Nord ,"
1.FC Magdeburg ",,150 K €,Free transfer
"Jan 10, 2007",Mehmet Ali Cakmak,31,Centre-Forward,Turkey,"
Karacabey Bld ", Turkey		,"
M.Kemalpasaspor ",,50 K €,Free transfer
"Jan 10, 2007",Andy Monkhouse,26,Left Midfield,England,"
Swindon Town ", League Two ,"
Hartlepool Utd. ",,50 K €,Free transfer
"Jan 10, 2007",Patricio González,27,Right Midfield,Argentina,"
Beerschot AC ", Jupiler Pro League ,"
Barcelona SC ",,400 K €,Free transfer
"Jan 10, 2007",Levent Kayatekin,27,Defender,Turkey,"
Zeytinburnuspor ", Turkey		,"
Sariyer ",,450 K €,?
"Jan 11, 2007",Erjon Bogdani,29,Centre-Forward,Albania,"
Siena ", Serie A ,"
Chievo Verona ",,"3,25 mil. €","3,00 mil. €"
"Jan 11, 2007",Clint Dempsey,23,Second Striker,United States,"
Revolution ", MLS ,"
Fulham ",,"1,00 mil. €","3,00 mil. €"
"Jan 11, 2007",Djimi Traoré,26,Centre-Back,Mali,"
Charlton ", Premier League ,"
Portsmouth ",,"3,00 mil. €","1,40 mil. €"
"Jan 11, 2007",Jon Stead,23,Centre-Forward,England,"
Sunderland ", Championship ,"
Sheffield Utd. ",,"2,30 mil. €","1,13 mil. €"
"Jan 11, 2007",Peter Whittingham,22,Central Midfield,England,"
Aston Villa ", Premier League ,"
Cardiff ",,850 K €,525 K €
"Jan 11, 2007",Chris Brown,22,Centre-Forward,England,"
Sunderland ", Championship ,"
Norwich ",,400 K €,475 K €
"Jan 11, 2007",David Wright,26,Defensive Midfield,England,"
Wigan ", Premier League ,"
Ipswich ",,600 K €,300 K €
"Jan 11, 2007",Osman Yesilmese,28,Right-Back,Turkey,"
Hatayspor ", Turkey		,"
Maltepespor ",,50 K €,Free transfer
"Jan 11, 2007",Andrés Scotti,31,Centre-Back,Uruguay,"
Rubin Kazan ", Premier Liga ,"
Argentinos Jrs. ",,50 K €,Free transfer
"Jan 11, 2007",Tim Clancy,22,Right-Back,Ireland,"
AFC Hornchurch ", England		,"
Kilmarnock FC ",,50 K €,?
"Jan 12, 2007",Fabio Luciano,31,Centre-Back,Brazil,"
Corinthians ", Série A ,"
1. FC Köln ",,"2,70 mil. €",Free transfer
"Jan 12, 2007",Josef Hranicka,26,Defender,Czech Republic,"
Chmel Blsany ", FNL ,"
FC Chomutov ",,100 K €,?
"Jan 13, 2007",Petter Rudi,33,Central Midfield,Norway,"
Molde FK ", OBOS-ligaen ,"
KAA Gent ",,800 K €,Free transfer
"Jan 14, 2007",Bogdan Lobont,28,Goalkeeper,Romania,"
Fiorentina ", Serie A ,"
Dinamo Bukarest ",,"1,50 mil. €","1,10 mil. €"
"Jan 15, 2007",César Prates,31,Right-Back,Brazil,"
AS Livorno ", Serie A ,"
Chievo Verona ",,"3,00 mil. €",Free transfer
"Jan 15, 2007",Simos Krassas,24,Left Winger,Cyprus,"
Apollon Pontou ", Super League 1 ,"
AEL Limassol ",,600 K €,Free transfer
"Jan 15, 2007",Ken Ilsö,20,Attacking Midfield,Denmark,"
Heerenveen ", Eredivisie ,"
SönderjyskE ",,75 K €,Free transfer
"Jan 15, 2007",Adam Green,23,Left-Back,England,"
Grays Athletic FC ", England		,"
Woking FC ",,350 K €,?
"Jan 15, 2007",Nihat Bastürk,33,Central Midfield,Turkey,"
Without Club ",,"
Fethiyespor ",,850 K €,-
"Jan 16, 2007",Mohamed Zidan,25,Second Striker,Egypt,"
Werder Bremen ", Bundesliga ,"
1.FSV Mainz 05 ",,"3,00 mil. €","2,80 mil. €"
"Jan 16, 2007",Peter Niemeyer,23,Defensive Midfield,Germany,"
FC Twente ", Eredivisie ,"
Werder Bremen ",,"2,50 mil. €",450 K €
"Jan 16, 2007",Tommy Wright,22,Centre-Forward,England,"
Barnsley FC ", Championship ,"
Darlington ",,400 K €,75 K €
"Jan 16, 2007",Maciej Rogalski,26,Left Midfield,Poland,"
KSZO Ostrowiec ", 1 Liga ,"
Lechia Gdansk ",,175 K €,40 K €
"Jan 16, 2007",Peter Endres,23,Defensive Midfield,Germany,"
K'lautern II ", Regionalliga Süd ,"
SV Darmstadt 98 ",,100 K €,Free transfer
"Jan 16, 2007",Zafer Biryol,30,Centre-Forward,Turkey,"
Bursaspor ", Süper Lig ,"
C. Rizespor ",,"1,73 mil. €",Free transfer
"Jan 16, 2007",Iván Hurtado,32,Centre-Back,Ecuador,"
Al Ahli ", Qatar		,"
Atl. Nacional ",,750 K €,Free transfer
"Jan 16, 2007",Mohammed El Berkani,24,Right Winger,Morocco,"
Lierse SK ", Jupiler Pro League ,"
Carl Zeiss Jena ",,300 K €,Free transfer
"Jan 16, 2007",Ahmet Görkem Görk,23,Centre-Back,Turkey,"
Eyüpspor ", Turkey		,"
C. Rizespor ",,225 K €,Free transfer
"Jan 16, 2007",Azmi Polat,23,Central Midfield,Turkey,"
Yalovaspor ", Turkey		,"
Akhisarspor ",,150 K €,Free transfer
"Jan 16, 2007",Erdal Günes,24,Defensive Midfield,Turkey,"
Gaziantepspor ", Süper Lig ,"
Kayserispor ",,"1,75 mil. €",?
"Jan 16, 2007",Filippo Carobbio,27,Central Midfield,Italy,"
Reggina ", Serie A ,"
Genoa ",,450 K €,?
"Jan 16, 2007",Sebastian Deisler,27,Right Midfield,Germany,"
Bayern Munich  ", Bundesliga ,"
Retired ",,"5,00 mil. €",-
"Jan 17, 2007",David Dunn,27,Attacking Midfield,England,"
Birmingham ", Championship ,"
Blackburn ",,"5,50 mil. €","3,20 mil. €"
"Jan 17, 2007",Leonardo Ponzio,24,Defensive Midfield,Argentina,"
Real Zaragoza ", LaLiga ,"
River Plate ",,"1,75 mil. €","3,00 mil. €"
"Jan 17, 2007",Marco Storari,30,Goalkeeper,Italy,"
ACR Messina ", Serie A ,"
AC Milan ",,"1,20 mil. €",850 K €
"Jan 17, 2007",Mathias Florén,30,Left-Back,Sweden,"
FC Groningen ", Eredivisie ,"
Elfsborg ",,600 K €,Free transfer
"Jan 17, 2007",Zafer Özgültekin,31,Goalkeeper,Turkey,"
K. Erciyesspor ", Süper Lig ,"
Eskisehirspor ",,850 K €,Free transfer
"Jan 17, 2007",Okan Koc,24,Right Winger,Turkey,"
Konyaspor ", Süper Lig ,"
Manisaspor ",,"2,00 mil. €",Free transfer
"Jan 17, 2007",Mesut Ünal,33,Centre-Back,Turkey,"
Yesil Bursa ", Turkey		,"
Balikesirspor ",,350 K €,Free transfer
"Jan 17, 2007",Mutlu Kiziltan,25,Attacking Midfield,Turkey,"
Istanbulspor ", 1.Lig ,"
Mardinspor ",,125 K €,?
"Jan 18, 2007",Matthew Upson,27,Centre-Back,England,"
Birmingham ", Championship ,"
West Ham ",,"9,00 mil. €","12,60 mil. €"
"Jan 18, 2007",Ayman Abdelaziz,28,Defensive Midfield,Egypt,"
Genclerbirligi ", Süper Lig ,"
Trabzonspor ",,"1,75 mil. €","1,00 mil. €"
"Jan 18, 2007",Laurén,29,Right-Back,Cameroon,"
Arsenal ", Premier League ,"
Portsmouth ",,"6,50 mil. €",550 K €
"Jan 18, 2007",Matthew Spring,27,Central Midfield,England,"
Watford ", Premier League ,"
Luton ",,300 K €,300 K €
"Jan 18, 2007",Martin Lang,30,Centre-Back,Austria,"
SV Mattersburg ", Bundesliga ,"
SC/ESV Parndorf ",,300 K €,Free transfer
"Jan 18, 2007",Marcelo Sarmiento,27,Central Midfield,Argentina,"
Southampton ", Championship ,"
Argentinos Jrs. ",,500 K €,Free transfer
"Jan 18, 2007",Marcel Mbayo,28,Attacking Midfield,DR Congo,"
Sakaryaspor ", Süper Lig ,"
KSC Lokeren ",,"1,00 mil. €",?
"Jan 18, 2007",Ercan Nasal,23,Defensive Midfield,Turkey,"
Sanliurfaspor  ", Turkey		,"
Siirtspor ",,50 K €,?
"Jan 18, 2007",Rasim Vardar,27,Forward,Turkey,"
Sakaryaspor ", Süper Lig ,"
Turan Spor ",,250 K €,?
"Jan 18, 2007",Miroslaw Szymkowiak,30,Central Midfield,Poland,"
Trabzonspor ", Süper Lig ,"
Retired ",,"4,48 mil. €",-
"Jan 19, 2007",Mladen Pelaic,23,Right-Back,Croatia,"
Standard Liège ", Jupiler Pro League ,"
Hajduk Split ",,400 K €,200 K €
"Jan 19, 2007",Mickael Nicoise,22,Right Winger,Guadeloupe,"
Genclerbirligi ", Süper Lig ,"
Exc. Mouscron ",,"1,50 mil. €",125 K €
"Jan 19, 2007",Dominic Matteo,32,Left-Back,Scotland,"
Blackburn ", Premier League ,"
Stoke City ",,"2,50 mil. €",Free transfer
"Jan 19, 2007",Dragoslav Jevric,32,Goalkeeper,Serbia,"
Osmanlispor ", Süper Lig ,"
M. Tel Aviv ",,"1,00 mil. €",Free transfer
"Jan 19, 2007",Derek Carcary,20,Right Winger,Scotland,"
Rangers ", Premiership ,"
Raith Rovers ",,50 K €,Free transfer
"Jan 19, 2007",Óskar Pétursson,17,Goalkeeper,Iceland,"
Ipswich U18 ", England		,"
Grindavík ",,100 K €,Free transfer
"Jan 19, 2007",Can Parlayan,21,Centre-Forward,Turkey,"
Trabzonspor ", Süper Lig ,"
1461 Trabzon ",,300 K €,Free transfer
"Jan 19, 2007",Eduardo,26,Centre-Forward,Brazil,"
Grasshoppers ", Super League ,"
Guingamp ",,"2,00 mil. €",?
"Jan 19, 2007",Ali Cemal Boztepe,23,Central Midfield,Turkey,"
Zeytinburnuspor ", Turkey		,"
Maltepespor ",,50 K €,?
"Jan 19, 2007",Kemal Ergin,26,Goalkeeper,Turkey,"
Körfez Isk. ", Turkey		,"
Corumspor ",,50 K €,?
"Jan 19, 2007",Gürkan Demirci,24,Forward,Turkey,"
Kasimpasa ", 1.Lig ,"
Bagcilar SK ",,"1,00 mil. €",?
"Jan 19, 2007",Can Emre Yücel,23,Goalkeeper,Turkey,"
Yozgatspor AS ", Turkey		,"
Ankaragücü ",,100 K €,?
